size,iterations,n_threads,time
1000,200,2,0.922691
1000,200,2,0.92183
1000,200,2,0.918333
2000,200,2,3.74155
2000,200,2,3.734167
2000,200,2,3.73816
2000,200,2,3.731865
2000,200,2,3.736014
2000,200,2,3.746598
2000,200,2,3.73004
2000,200,2,3.762529
2000,200,2,3.726247
2000,200,2,3.764817
3000,200,2,8.449329
3000,200,2,8.466411
3000,200,2,8.514836
3000,200,2,8.459032
3000,200,2,8.484222
3000,200,2,8.477496
3000,200,2,8.554658
3000,200,2,8.512402
3000,200,2,8.483225
3000,200,2,8.503551
500,500,2,0.528286
500,500,2,0.532152
500,500,2,0.532371
500,500,2,0.533887
500,500,2,0.544721
500,500,2,0.564302
500,500,2,0.559281
500,500,2,0.53377
500,500,2,0.534542
500,500,2,0.532235
1000,500,2,2.158036
1000,500,2,2.160516
