size,iterations,n_threads,time
1000,500,4,1.3014
1000,500,4,1.316976
1000,500,4,1.298044
1000,500,4,1.314659
1000,500,4,1.299074
1000,500,4,1.306764
1000,500,4,1.299079
1000,500,4,1.309188
1000,500,4,1.303141
2000,500,4,5.645697
2000,500,4,5.636059
2000,500,4,5.64299
2000,500,4,5.625005
2000,500,4,5.628684
2000,500,4,5.630599
2000,500,4,5.603799
2000,500,4,5.630666
2000,500,4,5.642578
2000,500,4,5.636032
2000,500,4,5.625011
2000,500,4,5.629788
2000,500,4,5.6504
2000,500,4,5.624552
2000,500,4,5.6399
2000,500,4,5.625507
2000,500,4,5.632165
2000,500,4,5.620622
2000,500,4,5.625796
2000,500,4,5.63416
3000,500,4,12.793853
3000,500,4,12.791271
3000,500,4,12.737798
3000,500,4,12.758694
3000,500,4,12.812241
3000,500,4,12.773408
3000,500,4,12.730404
3000,500,4,12.7844
3000,500,4,12.82445
3000,500,4,12.787141
3000,500,4,12.734667
3000,500,4,12.774158
3000,500,4,12.774482
3000,500,4,12.79228
3000,500,4,12.74987
3000,500,4,12.77762
3000,500,4,12.799065
3000,500,4,12.77962
3000,500,4,12.803892
3000,500,4,12.805551
500,50,8,0.019217
500,50,8,0.019155
500,50,8,0.019418
500,50,8,0.019148
500,50,8,0.019282
500,50,8,0.01908
500,50,8,0.019147
500,50,8,0.019174
500,50,8,0.019315
500,50,8,0.019154
500,50,8,0.01912
500,50,8,0.019155
500,50,8,0.019203
500,50,8,0.019177
500,50,8,0.019226
500,50,8,0.019134
500,50,8,0.019138
500,50,8,0.019349
500,50,8,0.019131
500,50,8,0.019174
1000,50,8,0.076591
1000,50,8,0.075605
1000,50,8,0.075839
1000,50,8,0.075696
1000,50,8,0.075619
1000,50,8,0.07559
1000,50,8,0.075825
1000,50,8,0.075731
1000,50,8,0.075636
1000,50,8,0.075816
1000,50,8,0.075884
1000,50,8,0.075597
1000,50,8,0.07557
1000,50,8,0.07577
1000,50,8,0.075754
1000,50,8,0.076017
1000,50,8,0.07592
1000,50,8,0.075726
1000,50,8,0.075884
1000,50,8,0.075723
2000,50,8,0.335756
2000,50,8,0.336405
2000,50,8,0.335671
2000,50,8,0.336592
2000,50,8,0.335427
2000,50,8,0.336718
2000,50,8,0.335312
2000,50,8,0.33726
2000,50,8,0.337537
2000,50,8,0.336119
2000,50,8,0.336831
2000,50,8,0.33645
2000,50,8,0.33629
2000,50,8,0.335834
2000,50,8,0.337546
2000,50,8,0.335941
2000,50,8,0.338455
2000,50,8,0.336322
2000,50,8,0.337391
2000,50,8,0.337514
3000,50,8,0.761971
3000,50,8,0.760568
3000,50,8,0.762057
3000,50,8,0.762949
3000,50,8,0.763448
3000,50,8,0.763639
3000,50,8,0.760821
3000,50,8,0.762974
3000,50,8,0.763238
3000,50,8,0.76336
3000,50,8,0.762411
3000,50,8,0.762301
3000,50,8,0.763131
3000,50,8,0.761974
3000,50,8,0.763997
3000,50,8,0.762649
3000,50,8,0.76057
3000,50,8,0.761692
3000,50,8,0.762686
3000,50,8,0.761862
500,100,8,0.037253
500,100,8,0.036598
500,100,8,0.036498
500,100,8,0.036806
500,100,8,0.036604
500,100,8,0.036611
500,100,8,0.036468
500,100,8,0.036735
500,100,8,0.036671
500,100,8,0.036684
500,100,8,0.0366
500,100,8,0.036507
500,100,8,0.036489
500,100,8,0.036519
500,100,8,0.036622
500,100,8,0.036786
500,100,8,0.036555
500,100,8,0.036626
500,100,8,0.036835
500,100,8,0.036579
1000,100,8,0.145096
1000,100,8,0.144671
1000,100,8,0.144925
1000,100,8,0.144951
1000,100,8,0.145299
1000,100,8,0.145176
1000,100,8,0.144511
1000,100,8,0.144783
1000,100,8,0.145106
1000,100,8,0.144974
1000,100,8,0.144864
1000,100,8,0.144563
1000,100,8,0.144938
1000,100,8,0.14506
1000,100,8,0.144783
1000,100,8,0.144926
1000,100,8,0.145004
1000,100,8,0.144576
1000,100,8,0.144924
1000,100,8,0.145048
2000,100,8,0.647377
2000,100,8,0.647149
2000,100,8,0.647222
2000,100,8,0.647573
2000,100,8,0.646227
2000,100,8,0.647557
2000,100,8,0.646324
2000,100,8,0.648428
2000,100,8,0.647903
2000,100,8,0.648015
2000,100,8,0.646496
2000,100,8,0.648693
2000,100,8,0.646974
2000,100,8,0.648587
2000,100,8,0.647285
2000,100,8,0.647052
2000,100,8,0.646896
2000,100,8,0.64902
2000,100,8,0.647664
2000,100,8,0.647658
3000,100,8,1.472611
3000,100,8,1.473877
3000,100,8,1.471722
3000,100,8,1.475882
3000,100,8,1.475973
3000,100,8,1.474734
3000,100,8,1.469196
3000,100,8,1.471848
3000,100,8,1.478212
3000,100,8,1.475529
3000,100,8,1.475825
3000,100,8,1.477041
3000,100,8,1.475826
3000,100,8,1.473889
3000,100,8,1.473704
3000,100,8,1.473946
3000,100,8,1.475329
3000,100,8,1.476158
3000,100,8,1.47359
3000,100,8,1.473796
500,200,8,0.070842
500,200,8,0.070587
500,200,8,0.070654
500,200,8,0.070743
500,200,8,0.070397
500,200,8,0.070732
500,200,8,0.070679
500,200,8,0.070312
500,200,8,0.070433
500,200,8,0.070427
500,200,8,0.070826
500,200,8,0.070548
500,200,8,0.070709
500,200,8,0.070607
500,200,8,0.070477
500,200,8,0.070427
500,200,8,0.070712
500,200,8,0.070587
500,200,8,0.070649
500,200,8,0.07099
1000,200,8,0.279298
1000,200,8,0.279296
1000,200,8,0.279194
1000,200,8,0.279497
1000,200,8,0.279103
1000,200,8,0.278962
1000,200,8,0.279637
1000,200,8,0.279707
1000,200,8,0.279285
1000,200,8,0.279419
1000,200,8,0.279454
1000,200,8,0.279937
1000,200,8,0.279244
1000,200,8,0.279764
1000,200,8,0.282401
1000,200,8,0.278871
1000,200,8,0.279253
1000,200,8,0.278935
1000,200,8,0.278708
1000,200,8,0.279366
2000,200,8,1.255296
2000,200,8,1.25635
2000,200,8,1.256582
2000,200,8,1.256072
2000,200,8,1.255789
2000,200,8,1.258796
2000,200,8,1.256061
2000,200,8,1.256361
2000,200,8,1.256927
2000,200,8,1.256122
2000,200,8,1.257765
2000,200,8,1.258299
2000,200,8,1.256508
2000,200,8,1.25612
2000,200,8,1.25957
2000,200,8,1.254694
2000,200,8,1.255462
2000,200,8,1.256702
2000,200,8,1.260056
2000,200,8,1.257898
