size,iterations,nodes,omp_threads,time
1000,50,4,4,0.044791
2000,50,4,4,0.165389
2000,50,4,4,0.165039
2000,50,4,4,0.165701
2000,50,4,4,0.164605
2000,50,4,4,0.166308
2000,50,4,4,0.165278
2000,50,4,4,0.164109
2000,50,4,4,0.165615
2000,50,4,4,0.163255
2000,50,4,4,0.164427
3000,50,4,4,0.368752
3000,50,4,4,0.369304
3000,50,4,4,0.369108
3000,50,4,4,0.368767
3000,50,4,4,0.367557
3000,50,4,4,0.367721
3000,50,4,4,0.367804
3000,50,4,4,0.368595
3000,50,4,4,0.368328
3000,50,4,4,0.368565
500,100,4,4,0.023395
500,100,4,4,0.023396
500,100,4,4,0.023894
500,100,4,4,0.023486
500,100,4,4,0.023466
500,100,4,4,0.023499
500,100,4,4,0.024442
500,100,4,4,0.023789
500,100,4,4,0.023648
500,100,4,4,0.023339
1000,100,4,4,0.084773
1000,100,4,4,0.082591
1000,100,4,4,0.082414
1000,100,4,4,0.084476
1000,100,4,4,0.083396
1000,100,4,4,0.082392
1000,100,4,4,0.082427
1000,100,4,4,0.082821
1000,100,4,4,0.082848
1000,100,4,4,0.083454
2000,100,4,4,0.308071
2000,100,4,4,0.308579
2000,100,4,4,0.306841
2000,100,4,4,0.307877
2000,100,4,4,0.307607
2000,100,4,4,0.309427
2000,100,4,4,0.308222
2000,100,4,4,0.310001
2000,100,4,4,0.314004
2000,100,4,4,0.30885
3000,100,4,4,0.695049
3000,100,4,4,0.697236
3000,100,4,4,0.693466
3000,100,4,4,0.695844
3000,100,4,4,0.695815
3000,100,4,4,0.694998
3000,100,4,4,0.699709
3000,100,4,4,0.694656
3000,100,4,4,0.695505
3000,100,4,4,0.695971
500,200,4,4,0.044016
500,200,4,4,0.044794
500,200,4,4,0.043562
500,200,4,4,0.043793
500,200,4,4,0.043871
500,200,4,4,0.043495
500,200,4,4,0.043572
500,200,4,4,0.04395
500,200,4,4,0.043875
500,200,4,4,0.043535
1000,200,4,4,0.154405
1000,200,4,4,0.153878
1000,200,4,4,0.154006
1000,200,4,4,0.155994
1000,200,4,4,0.153838
1000,200,4,4,0.15472
1000,200,4,4,0.153381
1000,200,4,4,0.153144
1000,200,4,4,0.154305
1000,200,4,4,0.154421
2000,200,4,4,0.583284
2000,200,4,4,0.580436
2000,200,4,4,0.584679
2000,200,4,4,0.58371
2000,200,4,4,0.581661
2000,200,4,4,0.58363
2000,200,4,4,0.582436
2000,200,4,4,0.58022
2000,200,4,4,0.583314
2000,200,4,4,0.581673
3000,200,4,4,1.311266
3000,200,4,4,1.311124
3000,200,4,4,1.312915
3000,200,4,4,1.342219
3000,200,4,4,1.313634
3000,200,4,4,1.315528
3000,200,4,4,1.311252
3000,200,4,4,1.3106
3000,200,4,4,1.312808
3000,200,4,4,1.313647
500,500,4,4,0.101138
500,500,4,4,0.100195
500,500,4,4,0.100948
500,500,4,4,0.099601
500,500,4,4,0.100579
500,500,4,4,0.099694
500,500,4,4,0.100192
500,500,4,4,0.099839
500,500,4,4,0.09967
500,500,4,4,0.100017
1000,500,4,4,0.361506
1000,500,4,4,0.362593
1000,500,4,4,0.359906
1000,500,4,4,0.356486
1000,500,4,4,0.356867
1000,500,4,4,0.357571
1000,500,4,4,0.357773
1000,500,4,4,0.358236
1000,500,4,4,0.357528
1000,500,4,4,0.355952
2000,500,4,4,1.370274
2000,500,4,4,1.369424
2000,500,4,4,1.369745
2000,500,4,4,1.372852
2000,500,4,4,1.36681
2000,500,4,4,1.374045
2000,500,4,4,1.37149
2000,500,4,4,1.370878
2000,500,4,4,1.364714
2000,500,4,4,1.368808
3000,500,4,4,3.077859
3000,500,4,4,3.08529
3000,500,4,4,3.080083
3000,500,4,4,3.078428
3000,500,4,4,3.082893
3000,500,4,4,3.090121
3000,500,4,4,3.0889
3000,500,4,4,3.081789
3000,500,4,4,3.086451
3000,500,4,4,3.090212
500,50,6,4,0.009046
500,50,6,4,0.008999
500,50,6,4,0.008896
500,50,6,4,0.009045
500,50,6,4,0.008959
500,50,6,4,0.008995
500,50,6,4,0.008917
500,50,6,4,0.009065
500,50,6,4,0.008937
500,50,6,4,0.008966
1000,50,6,4,0.030998
1000,50,6,4,0.031535
1000,50,6,4,0.031284
1000,50,6,4,0.030908
1000,50,6,4,0.031166
1000,50,6,4,0.031109
1000,50,6,4,0.031553
1000,50,6,4,0.031224
1000,50,6,4,0.031331
1000,50,6,4,0.031058
2000,50,6,4,0.11194
2000,50,6,4,0.112991
2000,50,6,4,0.113047
2000,50,6,4,0.112527
2000,50,6,4,0.114863
2000,50,6,4,0.11357
2000,50,6,4,0.112599
2000,50,6,4,0.113654
2000,50,6,4,0.113428
2000,50,6,4,0.11241
3000,50,6,4,0.248824
3000,50,6,4,0.246752
3000,50,6,4,0.245455
3000,50,6,4,0.246662
3000,50,6,4,0.246002
3000,50,6,4,0.245953
3000,50,6,4,0.246694
3000,50,6,4,0.246339
3000,50,6,4,0.24623
3000,50,6,4,0.246004
500,100,6,4,0.016477
500,100,6,4,0.0166
500,100,6,4,0.016694
500,100,6,4,0.016561
500,100,6,4,0.016681
500,100,6,4,0.01679
500,100,6,4,0.016679
500,100,6,4,0.016545
500,100,6,4,0.016654
500,100,6,4,0.016409
1000,100,6,4,0.057453
1000,100,6,4,0.057519
1000,100,6,4,0.057624
1000,100,6,4,0.057916
1000,100,6,4,0.058078
1000,100,6,4,0.057399
1000,100,6,4,0.058007
1000,100,6,4,0.058075
1000,100,6,4,0.059098
1000,100,6,4,0.057403
2000,100,6,4,0.209348
2000,100,6,4,0.208509
2000,100,6,4,0.209007
2000,100,6,4,0.209182
2000,100,6,4,0.209753
2000,100,6,4,0.210127
2000,100,6,4,0.208409
2000,100,6,4,0.208569
2000,100,6,4,0.210089
2000,100,6,4,0.208732
3000,100,6,4,0.46689
3000,100,6,4,0.467536
3000,100,6,4,0.465006
3000,100,6,4,0.465552
3000,100,6,4,0.469084
3000,100,6,4,0.466401
3000,100,6,4,0.475473
3000,100,6,4,0.463613
3000,100,6,4,0.47073
3000,100,6,4,0.466135
500,200,6,4,0.03146
500,200,6,4,0.031329
500,200,6,4,0.031401
500,200,6,4,0.031289
500,200,6,4,0.030976
500,200,6,4,0.031277
500,200,6,4,0.03158
500,200,6,4,0.031175
500,200,6,4,0.031075
500,200,6,4,0.031308
1000,200,6,4,0.107118
1000,200,6,4,0.107842
1000,200,6,4,0.106753
1000,200,6,4,0.107619
1000,200,6,4,0.106814
1000,200,6,4,0.106978
1000,200,6,4,0.106594
1000,200,6,4,0.107223
1000,200,6,4,0.108417
1000,200,6,4,0.106602
2000,200,6,4,0.39486
2000,200,6,4,0.394069
2000,200,6,4,0.394228
2000,200,6,4,0.393452
2000,200,6,4,0.394663
2000,200,6,4,0.393812
2000,200,6,4,0.392738
2000,200,6,4,0.393816
2000,200,6,4,0.393632
2000,200,6,4,0.394074
3000,200,6,4,0.881689
3000,200,6,4,0.879508
3000,200,6,4,0.878239
3000,200,6,4,0.887349
3000,200,6,4,0.883577
3000,200,6,4,0.878953
3000,200,6,4,0.877773
3000,200,6,4,0.879096
3000,200,6,4,0.878352
3000,200,6,4,0.881052
500,500,6,4,0.071748
500,500,6,4,0.072558
500,500,6,4,0.07152
500,500,6,4,0.071905
500,500,6,4,0.072594
500,500,6,4,0.071777
500,500,6,4,0.071518
500,500,6,4,0.071329
500,500,6,4,0.071405
500,500,6,4,0.072331
1000,500,6,4,0.246649
1000,500,6,4,0.246923
1000,500,6,4,0.248385
1000,500,6,4,0.247716
1000,500,6,4,0.248189
1000,500,6,4,0.246728
1000,500,6,4,0.245781
1000,500,6,4,0.247428
1000,500,6,4,0.248607
1000,500,6,4,0.247758
2000,500,6,4,0.932884
2000,500,6,4,0.933002
2000,500,6,4,0.92857
2000,500,6,4,0.930982
2000,500,6,4,0.928606
2000,500,6,4,0.931551
2000,500,6,4,0.929697
2000,500,6,4,0.935359
2000,500,6,4,0.930549
2000,500,6,4,0.927667
3000,500,6,4,2.062514
3000,500,6,4,2.063664
3000,500,6,4,2.063088
3000,500,6,4,2.06875
3000,500,6,4,2.063823
3000,500,6,4,2.059203
3000,500,6,4,2.073466
3000,500,6,4,2.062456
3000,500,6,4,2.061307
3000,500,6,4,2.064483
500,50,2,8,0.06929
500,50,2,8,0.067487
500,50,2,8,0.069127
500,50,2,8,0.072719
500,50,2,8,0.072062
500,50,2,8,0.069035
500,50,2,8,0.072942
500,50,2,8,0.071858
500,50,2,8,0.069176
